# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
84            	smoothSolver	7.039080e-03	3.692920e-04	2	1.744250e-02	9.925750e-04	2	false	smoothSolver	1.566150e-02	1.229870e-03	1	true	GAMG	1.741090e-01	1.316470e-03	7	true	smoothSolver	3.047320e-03	1.906300e-04	1	true
85            	smoothSolver	7.111750e-03	3.720570e-04	2	1.768770e-02	1.002830e-03	2	false	smoothSolver	1.569610e-02	1.236050e-03	1	true	GAMG	1.749270e-01	1.450010e-03	7	true	smoothSolver	3.053170e-03	1.927220e-04	1	true
86            	smoothSolver	7.200130e-03	3.753710e-04	2	1.796710e-02	1.015410e-03	2	false	smoothSolver	1.577840e-02	1.241650e-03	1	true	GAMG	1.766640e-01	1.507290e-03	7	true	smoothSolver	3.110100e-03	1.956980e-04	1	true
87            	smoothSolver	7.292540e-03	3.790600e-04	2	1.816870e-02	1.028300e-03	2	false	smoothSolver	1.581360e-02	1.235600e-03	1	true	GAMG	1.772690e-01	1.429020e-03	7	true	smoothSolver	3.152340e-03	1.975510e-04	1	true
88            	smoothSolver	7.383400e-03	3.821610e-04	2	1.844020e-02	1.038160e-03	2	false	smoothSolver	1.588940e-02	1.243640e-03	1	true	GAMG	1.799700e-01	1.370900e-03	7	true	smoothSolver	3.172400e-03	1.999100e-04	1	true
89            	smoothSolver	7.462460e-03	3.859310e-04	2	1.871750e-02	1.052440e-03	2	false	smoothSolver	1.599590e-02	1.251130e-03	1	true	GAMG	1.827240e-01	1.311280e-03	7	true	smoothSolver	3.256700e-03	2.036230e-04	1	true
90            	smoothSolver	7.568340e-03	3.900910e-04	2	1.893780e-02	1.066030e-03	2	false	smoothSolver	1.603190e-02	1.246610e-03	1	true	GAMG	1.816430e-01	1.295150e-03	7	true	smoothSolver	3.251170e-03	2.054190e-04	1	true
91            	smoothSolver	7.655340e-03	3.934490e-04	2	1.927290e-02	1.077300e-03	2	false	smoothSolver	1.614360e-02	1.254500e-03	1	true	GAMG	1.847310e-01	1.312160e-03	7	true	smoothSolver	3.312820e-03	2.080090e-04	1	true
92            	smoothSolver	7.737530e-03	3.975360e-04	2	1.955520e-02	1.094450e-03	2	false	smoothSolver	1.626930e-02	1.265920e-03	1	true	GAMG	1.843940e-01	1.352680e-03	7	true	smoothSolver	3.365680e-03	2.114040e-04	1	true
93            	smoothSolver	7.839820e-03	4.015680e-04	2	1.980460e-02	1.108270e-03	2	false	smoothSolver	1.629220e-02	1.266060e-03	1	true	GAMG	1.824800e-01	1.409800e-03	7	true	smoothSolver	3.386190e-03	2.137860e-04	1	true
94            	smoothSolver	7.914490e-03	4.052580e-04	2	2.017840e-02	1.119410e-03	2	false	smoothSolver	1.643110e-02	1.269700e-03	1	true	GAMG	1.836480e-01	1.465030e-03	7	true	smoothSolver	3.456600e-03	2.169380e-04	1	true
95            	smoothSolver	8.011820e-03	4.102370e-04	2	2.040970e-02	1.138010e-03	2	false	smoothSolver	1.661480e-02	1.278500e-03	1	true	GAMG	1.819220e-01	1.489730e-03	7	true	smoothSolver	3.466050e-03	2.193130e-04	1	true
96            	smoothSolver	8.118720e-03	4.144640e-04	2	2.071750e-02	1.151420e-03	2	false	smoothSolver	1.659750e-02	1.286800e-03	1	true	GAMG	1.835010e-01	1.450170e-03	7	true	smoothSolver	3.512230e-03	2.216410e-04	1	true
97            	smoothSolver	8.215920e-03	4.189310e-04	2	2.104940e-02	1.163530e-03	2	false	smoothSolver	1.672330e-02	1.290780e-03	1	true	GAMG	1.868840e-01	1.416930e-03	7	true	smoothSolver	3.552260e-03	2.242820e-04	1	true
98            	smoothSolver	8.319510e-03	4.241530e-04	2	2.126810e-02	1.183820e-03	2	false	smoothSolver	1.696390e-02	1.301750e-03	1	true	GAMG	1.841430e-01	1.315920e-03	7	true	smoothSolver	3.587970e-03	2.266660e-04	1	true
99            	smoothSolver	8.422130e-03	4.286540e-04	2	2.159800e-02	1.194770e-03	2	false	smoothSolver	1.697300e-02	1.309100e-03	1	true	GAMG	1.865280e-01	1.328530e-03	7	true	smoothSolver	3.651460e-03	2.294830e-04	1	true
100           	smoothSolver	8.513580e-03	4.338290e-04	2	2.191280e-02	1.210730e-03	2	false	smoothSolver	1.709430e-02	1.308950e-03	1	true	GAMG	1.873980e-01	1.397780e-03	7	true	smoothSolver	3.665510e-03	2.318350e-04	1	true
101           	smoothSolver	8.620180e-03	4.394790e-04	2	2.214590e-02	1.231370e-03	2	false	smoothSolver	1.729650e-02	1.324180e-03	1	true	GAMG	1.853050e-01	1.528340e-03	7	true	smoothSolver	3.711270e-03	2.346340e-04	1	true
102           	smoothSolver	8.719670e-03	4.440050e-04	2	2.250790e-02	1.240520e-03	2	false	smoothSolver	1.732210e-02	1.333390e-03	1	true	GAMG	1.899390e-01	1.721260e-03	7	true	smoothSolver	3.739320e-03	2.369670e-04	1	true
103           	smoothSolver	8.807120e-03	4.494830e-04	2	2.276890e-02	1.260490e-03	2	false	smoothSolver	1.743620e-02	1.334980e-03	1	true	GAMG	1.891650e-01	1.802490e-03	7	true	smoothSolver	3.772740e-03	2.384210e-04	1	true
104           	smoothSolver	8.894210e-03	4.538880e-04	2	2.303290e-02	1.278980e-03	2	false	smoothSolver	1.763520e-02	1.347260e-03	1	true	GAMG	1.880960e-01	1.363080e-03	8	true	smoothSolver	3.862670e-03	2.424670e-04	1	true
105           	smoothSolver	8.986250e-03	4.582410e-04	2	2.335400e-02	1.287840e-03	2	false	smoothSolver	1.774200e-02	1.353460e-03	1	true	GAMG	1.938260e-01	9.784630e-04	8	true	smoothSolver	3.866800e-03	2.447450e-04	1	true
